MLPerf Start
INFO 07-28 20:23:00 [tpu_jax_runner.py:756] Batch composition: Total tokens=4, Prefill tokens=4, Decode tokens=0 (0 seqs)
INFO 07-28 20:23:00 [tpu_jax_runner.py:756] Batch composition: Total tokens=3187, Prefill tokens=3186, Decode tokens=1 (1 seqs)
INFO 07-28 20:23:00 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=8133, Decode tokens=59 (59 seqs)
INFO 07-28 20:23:01 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=7854, Decode tokens=338 (338 seqs)
INFO 07-28 20:23:01 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=7722, Decode tokens=470 (470 seqs)
INFO 07-28 20:23:02 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=7588, Decode tokens=604 (604 seqs)
INFO 07-28 20:23:02 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=7448, Decode tokens=744 (744 seqs)
INFO 07-28 20:23:02 [tpu_jax_runner.py:756] Batch composition: Total tokens=8192, Prefill tokens=7323, Decode tokens=869 (869 seqs)
INFO 07-28 20:23:03 [tpu_jax_runner.py:756] Batch composition: Total tokens=2390, Prefill tokens=1390, Decode tokens=1000 (1000 seqs)
INFO 07-28 20:23:03 [tpu_jax_runner.py:756] Batch composition: Total tokens=1202, Prefill tokens=182, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:03 [tpu_jax_runner.py:756] Batch composition: Total tokens=1413, Prefill tokens=395, Decode tokens=1018 (1018 seqs)
INFO 07-28 20:23:03 [tpu_jax_runner.py:756] Batch composition: Total tokens=1255, Prefill tokens=234, Decode tokens=1021 (1021 seqs)
INFO 07-28 20:23:04 [tpu_jax_runner.py:756] Batch composition: Total tokens=1156, Prefill tokens=134, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:04 [tpu_jax_runner.py:756] Batch composition: Total tokens=1081, Prefill tokens=59, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:04 [tpu_jax_runner.py:756] Batch composition: Total tokens=1202, Prefill tokens=180, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:04 [tpu_jax_runner.py:756] Batch composition: Total tokens=1095, Prefill tokens=72, Decode tokens=1023 (1023 seqs)
INFO 07-28 20:23:04 [tpu_jax_runner.py:756] Batch composition: Total tokens=1084, Prefill tokens=62, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:05 [tpu_jax_runner.py:756] Batch composition: Total tokens=1097, Prefill tokens=74, Decode tokens=1023 (1023 seqs)
INFO 07-28 20:23:05 [tpu_jax_runner.py:756] Batch composition: Total tokens=1082, Prefill tokens=59, Decode tokens=1023 (1023 seqs)
INFO 07-28 20:23:05 [tpu_jax_runner.py:756] Batch composition: Total tokens=1136, Prefill tokens=114, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:05 [tpu_jax_runner.py:756] Batch composition: Total tokens=1118, Prefill tokens=96, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:06 [tpu_jax_runner.py:756] Batch composition: Total tokens=1237, Prefill tokens=216, Decode tokens=1021 (1021 seqs)
INFO 07-28 20:23:06 [tpu_jax_runner.py:756] Batch composition: Total tokens=1024, Prefill tokens=0, Decode tokens=1024 (1024 seqs)
INFO 07-28 20:23:06 [tpu_jax_runner.py:756] Batch composition: Total tokens=1203, Prefill tokens=183, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:06 [tpu_jax_runner.py:756] Batch composition: Total tokens=1150, Prefill tokens=129, Decode tokens=1021 (1021 seqs)
INFO 07-28 20:23:06 [tpu_jax_runner.py:756] Batch composition: Total tokens=1104, Prefill tokens=82, Decode tokens=1022 (1022 seqs)
INFO 07-28 20:23:07 [tpu_jax_runner.py:756] Batch composition: Total tokens=1412, Prefill tokens=393, Decode tokens=1019 (1019 seqs)
INFO 07-28 20:23:07 [tpu_jax_runner.py:756] Batch composition: Total tokens=1261, Prefill tokens=241, Decode tokens=1020 (1020 seqs)
INFO 07-28 20:23:07 [tpu_jax_runner.py:756] Batch composition: Total tokens=1106, Prefill tokens=83, Decode tokens=1023 (1023 seqs)
INFO 07-28 20:23:07 [tpu_jax_runner.py:756] Batch composition: Total tokens=1024, Prefill tokens=0, Decode tokens=1024 (1024 seqs)
INFO 07-28 20:23:07 [tpu_jax_runner.py:756] Batch composition: Total tokens=1085, Prefill tokens=62, Decode tokens=1023 (1023 seqs)
