Feature,CorrectnessTest,PerformanceTest
Chunked Prefill,✅ Passing,✅ Passing
DCN-based P/D disaggregation,❓ Untested,✅ Passing
KV cache host offloading,❓ Untested,❓ Untested
LoRA_Torch,✅ Passing,✅ Passing
Multimodal Inputs,✅ Passing,✅ Passing
Out-of-tree model support,✅ Passing,✅ Passing
Prefix Caching,✅ Passing,✅ Passing
Single Program Multi Data,✅ Passing,✅ Passing
Single-Host-P-D-disaggregation,⚪ N/A,⚪ N/A
Speculative Decoding: Eagle3,✅ Passing,✅ Passing
Speculative Decoding: Ngram,✅ Passing,✅ Passing
async scheduler,✅ Passing,✅ Passing
data_parallelism,✅ Passing,❓ Untested
runai_model_streamer_loader,✅ Passing,⚪ N/A
sampling_params,✅ Passing,⚪ N/A
structured_decoding,✅ Passing,⚪ N/A
