Feature,CorrectnessTest,PerformanceTest
"Chunked Prefill",✅ Passing,✅ Passing
"DCN-based P/D disaggregation",✅ Passing,✅ Passing
"KV Cache Offload",✅ Passing,✅ Passing
"LoRA_Torch",❌ Failing,❓ Untested
"Multimodal Inputs",✅ Passing,✅ Passing
"Out-of-tree model support",✅ Passing,❌ Failing
"Prefix Caching",✅ Passing,✅ Passing
"Single Program Multi Data",✅ Passing,✅ Passing
"Speculative Decoding: Eagle3",❌ Failing,❓ Untested
"Speculative Decoding: Ngram",❌ Failing,❓ Untested
"Step Pooling (Embedding)",✅ Passing,❓ Untested
"async scheduler",❌ Failing,❓ Untested
"hybrid kv cache",✅ Passing,❓ Untested
"multi-host",❓ Untested,❓ Untested
"runai_model_streamer_loader",✅ Passing,❓ Untested
"sampling_params",✅ Passing,❓ Untested
"structured_decoding",✅ Passing,❓ Untested
