Feature,CorrectnessTest,PerformanceTest
"Chunked Prefill",✅ Passing,✅ Passing
"Collective Communication Matmul",❓ Untested,❓ Untested
"DCN-based P/D disaggregation",❌ Failing,❌ Failing
"KV Cache Offload",✅ Passing,✅ Passing
"LoRA_Torch",❌ Failing,❓ Untested
"MoE Expert IDs",❓ Untested,❓ Untested
"Multimodal Inputs",❌ Failing,❓ Untested
"Out-of-tree model support",❌ Failing,❓ Untested
"Prefix Caching",✅ Passing,✅ Passing
"Single Program Multi Data",✅ Passing,✅ Passing
"Speculative Decoding: DFlash",❌ Failing,❓ Untested
"Speculative Decoding: Eagle3",❓ Untested,❓ Untested
"Speculative Decoding: Ngram",❌ Failing,❓ Untested
"Step Pooling (Embedding)",❌ Failing,❓ Untested
"async scheduler",❓ Untested,❓ Untested
"async_logprobs",❓ Untested,❓ Untested
"hybrid kv cache",❓ Untested,❓ Untested
"multi-host",❌ Failing,❓ Untested
"processed_logprobs",❓ Untested,❓ Untested
"rl_integration",❓ Untested,❓ Untested
"runai_model_streamer_loader",❌ Failing,❓ Untested
"sampling_params",❌ Failing,❓ Untested
"structured_decoding",❌ Failing,❓ Untested
