Feature,CorrectnessTest,PerformanceTest
Chunked Prefill,✅ Passing,✅ Passing
DCN-based P/D disaggregation,✅ Passing,✅ Passing
KV cache host offloading,❓ Untested,❓ Untested
LoRA_Torch,✅ Passing,✅ Passing
Multimodal Inputs,❌ Failing,⚪ N/A
Out-of-tree model support,✅ Passing,✅ Passing
Prefix Caching,✅ Passing,✅ Passing
Single Program Multi Data,✅ Passing,✅ Passing
Single-Host-P-D-disaggregation,❌ Failing,⚪ N/A
Speculative Decoding: Eagle3,❌ Failing,⚪ N/A
Speculative Decoding: Ngram,❌ Failing,⚪ N/A
async scheduler,✅ Passing,✅ Passing
hybrid kv cache,✅ Passing,⚪ N/A
multi-host,⚪ N/A,⚪ N/A
runai_model_streamer_loader,❌ Failing,⚪ N/A
sampling_params,❌ Failing,⚪ N/A
structured_decoding,❌ Failing,⚪ N/A
